Date	Rain	Temperature	MaxTemp	MinTemp	Exposure
11/03/2009	0	20.30	25	15.6	7.4
12/03/2009	1.2	17.75	22.2	13.3	19.9
13/03/2009	0.3	15.20	20.3	10.1	20.5
14/03/2009	0	16.10	25.8	6.4	23.2
15/03/2009	0	21.65	31.6	11.7	21.6
16/03/2009	0	24.65	34.4	14.9	22.5
17/03/2009	0.4	20.75	24.5	17	14.5
18/03/2009	3.6	15.95	18.1	13.8	8.5
19/03/2009	0	18.10	22.3	13.9	11.4
20/03/2009	0	16.40	18.1	14.7	6.7
21/03/2009	8	14.95	19.3	10.6	12.3
22/03/2009	0	15.05	20.8	9.3	8.5
23/03/2009	3.2	17.15	22.4	11.9	13.6
24/03/2009	1.8	17.90	23.5	12.3	12.5
25/03/2009	0.8	17.45	22.6	12.3	17.3
26/03/2009	0.2	19.20	27.4	11	20.7
27/03/2009	0	19.00	26.8	11.2	20.2
28/03/2009	0	16.75	19.5	14	7.6
29/03/2009	1.2	16.95	19.4	14.5	12.4
