NestID	Cohort	Helpers	Size	Date
175	2011	1	-2.057192612	14/11/2011
175	2011	1	-1.502765136	14/11/2011
176	2011	0	-1.343872669	8/11/2011
177	2011	1	0.060277407	4/12/2011
177	2011	1	-0.267039572	4/12/2011
177	2011	1	0.179737832	4/12/2011
178	2011	2	1.331037446	26/11/2011
178	2011	2	1.007657252	26/11/2011
179	2011	0	-0.443798437	11/12/2011
179	2011	0	0.099248666	11/12/2011
180	2011	1	-0.712372974	3/11/2011
180	2011	1	-0.827896614	3/11/2011
180	2011	1	-0.754817638	3/11/2011
181	2011	0	0.668594164	5/12/2011
181	2011	0	0.687848104	5/12/2011
182	2011	1	-0.844657773	21/11/2011
182	2011	1	-0.378626427	21/11/2011
183	2011	1	-0.713353596	23/11/2011
183	2011	1	0.445819586	23/11/2011
184	2011	1	-0.309020857	5/12/2011
184	2011	1	-0.401353774	5/12/2011
184	2011	1	0.079994727	5/12/2011
185	2011	0	0.230089462	24/11/2011
186	2011	0	-2.515813766	24/11/2011
186	2011	0	-2.053719207	24/11/2011
187	2011	1	-1.984113636	13/11/2011
187	2011	1	-1.849336056	13/11/2011
187	2011	1	-2.253668795	13/11/2011
188	2011	0	0.041023467	5/11/2011
189	2011	0	-0.63500416	6/01/2012
189	2011	0	-0.172909601	6/01/2012
190	2011	1	-1.116188468	3/11/2011
190	2011	1	-1.116188468	3/11/2011
190	2011	1	-0.889077974	3/11/2011
191	2011	1	-0.863448333	3/01/2012
191	2011	1	-0.805686513	3/01/2012
192	2011	0	0.037550063	17/11/2011
192	2011	0	-0.077973577	17/11/2011
193	2011	0	-1.983133013	21/11/2011
193	2011	0	-1.601990997	21/11/2011
193	2011	0	-1.963879072	21/11/2011
194	2011	1	-0.767178634	26/11/2011
194	2011	1	-0.328274797	26/11/2011
195	2011	0	-0.538734461	25/12/2011
195	2011	0	-1.697907645	25/12/2011
196	2011	0	-0.963654817	29/10/2011
196	2011	0	-0.674845717	29/10/2011
196	2011	0	-0.713353596	29/10/2011
197	2011	2	0.056804002	16/12/2011
198	2011	0	-0.848131177	18/11/2011
198	2011	0	-1.133003493	18/11/2011
198	2011	0	-0.824940453	18/11/2011
199	2011	0	-0.196100325	16/11/2011
199	2011	0	0.227486355	16/11/2011
200	2011	0	-1.252463916	13/11/2011
200	2011	0	-1.445003316	13/11/2011
201	2011	0	-0.061322746	6/01/2012
201	2011	0	0.423962538	6/01/2012
202	2011	2	0.580597166	9/11/2011
203	2011	0	-0.285830133	21/11/2011
203	2011	0	-0.000957818	21/11/2011
204	2011	0	0.653676143	10/01/2012
204	2011	0	0.461136741	10/01/2012
205	2011	0	-1.810828176	30/10/2011
205	2011	0	-1.656796657	30/10/2011
205	2011	0	-1.710621692	30/10/2011
206	2011	0	-1.498828353	13/12/2011
206	2011	0	-0.863448333	13/12/2011
207	2011	0	-0.578576017	6/11/2011
